epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,692.826,3.55551,4.10609,2.45496,0.00343,1.46334,0.0002,0.00389,0.00011,2e-05,0.00027,0.00518,0.00015,4e-05,nan,nan,nan,nan,0,0.006832,0.006832,0.006832
34,711.004,3.86409,4.24919,2.78498,0.00343,1.90774,0.0024,0.02785,0.00187,0.00058,0.00134,0.01554,0.00118,0.00033,nan,nan,nan,nan,0,0.006733,0.006733,0.006733
35,730.429,3.84459,3.85178,2.42177,0.00297,1.82733,0.00299,0.01749,0.00184,0.00042,0.00166,0.00972,0.00085,0.00029,nan,nan,nan,nan,0,0.006634,0.006634,0.006634
36,750.399,2.88157,3.2679,2.5391,0.00277,1.35521,0.01872,0.01231,0.0099,0.00279,0.01872,0.01231,0.00992,0.00269,nan,nan,nan,nan,0,0.006535,0.006535,0.006535
37,770.21,3.3397,3.95809,2.77919,0.00376,1.71154,0.21373,0.19031,0.10693,0.02502,0.16232,0.17358,0.08115,0.02326,3.18971,3.4006,2.437,0.00357,0,0.006436,0.006436,0.006436
38,792.23,3.61475,4.16766,2.3632,0.00313,1.79017,0.26496,0.17293,0.12641,0.03367,0.18838,0.12759,0.08448,0.02124,3.23105,nan,nan,0.00369,0,0.006337,0.006337,0.006337
39,811.649,2.91818,2.96356,3.21506,0.0027,1.57108,0.14419,0.13342,0.04984,0.01118,0.18785,0.14054,0.06771,0.01586,nan,nan,nan,nan,0,0.006238,0.006238,0.006238
40,832.318,3.79212,3.7311,2.58361,0.00351,1.81247,0.1888,0.02785,0.02169,0.00653,0.16245,0.02396,0.0194,0.00842,nan,nan,nan,nan,0,0.006139,0.006139,0.006139
41,854.285,3.51735,3.68197,2.50752,0.00345,2.0717,0.07472,0.03044,0.03987,0.01202,0.05564,0.02267,0.02889,0.00956,nan,nan,nan,nan,0,0.00604,0.00604,0.00604
42,874.762,3.35094,3.30303,2.80533,0.00309,1.59495,0.04706,0.00259,0.02362,0.00709,0.02353,0.0013,0.01185,0.0077,3.54052,4.39564,5.44248,0.00412,0,0.005941,0.005941,0.005941
43,896.56,3.40978,3.44659,2.22431,0.00318,1.86772,0.13423,0.02591,0.07028,0.02119,0.13758,0.02655,0.07098,0.02838,3.27379,3.9555,5.30188,0.00382,0,0.005842,0.005842,0.005842
44,916.495,3.5685,3.50554,2.5223,0.00337,1.58657,0.07487,0.01813,0.03859,0.01126,0.0508,0.01231,0.02579,0.0095,3.45899,4.37502,5.28693,0.00387,0,0.005743,0.005743,0.005743
45,939.72,3.54493,3.77269,2.22966,0.00313,2.20244,0.14707,0.05181,0.03141,0.00714,0.07943,0.04469,0.02315,0.00707,3.49257,4.1641,3.57994,0.00367,0,0.005644,0.005644,0.005644
46,959.545,3.6839,3.76938,2.64697,0.0035,1.78715,0.09398,0.25972,0.08736,0.02103,0.07851,0.21697,0.06166,0.01891,3.12772,3.36593,3.47742,0.00341,0,0.005545,0.005545,0.005545
47,979.767,3.70016,4.10037,2.64474,0.00316,1.49982,0.16725,0.21632,0.13193,0.03562,0.15824,0.20466,0.12019,0.04127,3.39273,4.67666,3.98333,0.00376,0,0.005446,0.005446,0.005446
48,1001.89,3.40964,3.62913,2.07881,0.00311,1.75006,0.13082,0.26554,0.13217,0.03749,0.11487,0.23316,0.09631,0.0301,3.3568,4.7346,3.48283,0.00373,0,0.005347,0.005347,0.005347
49,1022.18,2.47148,2.5086,2.96667,0.00231,1.13947,0.07812,0.4158,0.1171,0.03018,0.06498,0.34585,0.08517,0.02433,3.20675,4.2217,2.5594,0.00345,0,0.005248,0.005248,0.005248
50,1044.9,3.50921,3.74679,2.58549,0.00302,2.00456,0.25272,0.18394,0.11571,0.02719,0.202,0.14702,0.0868,0.01999,3.0576,3.86469,2.12059,0.00336,0,0.005149,0.005149,0.005149
51,1064.33,3.54113,3.52046,2.54063,0.00383,1.5437,0.28046,0.22085,0.13688,0.03326,0.18724,0.17725,0.09402,0.02301,3.02893,3.91516,2.15949,0.00331,0,0.00505,0.00505,0.00505
52,1085.33,3.15193,3.67107,2.41148,0.00297,1.67901,0.23891,0.20725,0.13078,0.03166,0.1987,0.19899,0.10798,0.02734,3.07436,nan,nan,0.00339,0,0.004951,0.004951,0.004951
53,1106.07,3.32439,3.74198,2.27259,0.00285,1.8589,0.26337,0.20078,0.13858,0.03465,0.19608,0.18656,0.10556,0.02897,2.98038,nan,nan,0.00329,0,0.004852,0.004852,0.004852
54,1124.31,3.46734,3.78571,2.34703,0.00324,1.86777,0.23591,0.15598,0.12289,0.03288,0.16969,0.17681,0.09837,0.02743,3.07851,3.38309,3.28127,0.00346,0,0.004753,0.004753,0.004753
55,1147.5,3.4002,3.85588,2.5072,0.00318,1.47834,0.30768,0.2487,0.17368,0.04401,0.29354,0.25648,0.17893,0.04998,2.90711,3.1164,2.00469,0.00322,0,0.004654,0.004654,0.004654
56,1168.29,3.39001,3.56709,2.06644,0.00309,1.76514,0.27063,0.26891,0.17035,0.04393,0.23153,0.2772,0.15226,0.03661,2.91055,3.18473,1.80155,0.00344,0,0.004555,0.004555,0.004555
57,1188.36,3.55371,3.52705,1.97777,0.00317,2.1943,0.23275,0.23577,0.13929,0.03356,0.16916,0.23381,0.09724,0.02505,3.08764,3.28378,2.1429,0.00352,0,0.004456,0.004456,0.004456
58,1207.98,3.18264,3.26739,2.28963,0.00297,2.01796,0.24186,0.2364,0.13692,0.03273,0.17982,0.23057,0.1018,0.02448,3.02548,3.3121,2.20839,0.00359,0,0.004357,0.004357,0.004357
59,1227.28,3.21782,3.4024,1.99966,0.00323,1.85264,0.26809,0.27591,0.16913,0.04289,0.22751,0.26914,0.14998,0.03761,nan,nan,nan,nan,0,0.004258,0.004258,0.004258
60,1249.36,3.34935,3.50664,2.34652,0.00355,1.49099,0.25671,0.28433,0.16584,0.04324,0.13289,0.14896,0.05915,0.01314,nan,nan,nan,nan,0,0.004159,0.004159,0.004159
61,1268.55,3.37818,3.58027,2.22644,0.00341,1.91125,0.07418,0.39054,0.10731,0.02823,0.06102,0.32124,0.06738,0.01754,nan,nan,nan,nan,0,0.00406,0.00406,0.00406
62,1287.42,3.25807,3.56119,2.59428,0.00364,1.39392,0.19667,0.29334,0.12874,0.03495,0.1167,0.19819,0.06397,0.01686,nan,nan,nan,nan,0,0.003961,0.003961,0.003961
63,1308.81,3.49512,3.595,1.94818,0.00288,1.96627,0.26482,0.22021,0.15389,0.03976,0.11784,0.22215,0.08334,0.02242,2.88616,nan,nan,0.00308,0,0.003862,0.003862,0.003862
64,1328.69,3.39162,3.56156,2.44483,0.00403,1.76229,0.28437,0.21049,0.15738,0.03976,0.19235,0.15285,0.1049,0.0256,3.02144,nan,nan,0.00323,0,0.003763,0.003763,0.003763
65,1351.44,3.35963,3.33599,2.17454,0.00347,1.51981,0.23737,0.3044,0.15711,0.03992,0.21667,0.27785,0.14194,0.03729,2.86901,nan,nan,0.0032,0,0.003664,0.003664,0.003664
66,1372.12,3.38208,3.68912,2.04625,0.00292,1.72947,0.26548,0.29404,0.17235,0.04432,0.18662,0.21567,0.10987,0.02529,nan,nan,nan,nan,0,0.003565,0.003565,0.003565
67,1392.66,3.37046,3.5698,2.06527,0.0032,1.79031,0.11827,0.35168,0.15179,0.04175,0.07057,0.20984,0.06618,0.0183,nan,nan,nan,nan,0,0.003466,0.003466,0.003466
68,1414.18,2.85079,2.94771,1.93505,0.00249,1.38279,0.24151,0.20251,0.12181,0.02963,0.20618,0.18718,0.10465,0.02851,nan,nan,nan,nan,0,0.003367,0.003367,0.003367
69,1435.31,3.41877,3.71991,2.09838,0.00326,1.85065,0.25195,0.28174,0.14994,0.0358,0.12058,0.16127,0.05896,0.01395,nan,nan,nan,nan,0,0.003268,0.003268,0.003268
70,1454.79,3.21903,3.65252,1.83821,0.00292,1.17281,0.24125,0.25583,0.14468,0.03635,0.13044,0.20272,0.08131,0.02114,nan,nan,nan,nan,0,0.003169,0.003169,0.003169
71,1476.14,3.24365,3.58559,1.84007,0.00298,1.2848,0.23869,0.31671,0.15952,0.0393,0.17486,0.27979,0.11415,0.03228,nan,nan,nan,nan,0,0.00307,0.00307,0.00307
72,1496.05,2.8582,2.97185,1.91082,0.0024,1.2127,0.22741,0.3057,0.14958,0.03632,0.16086,0.25065,0.09746,0.02279,2.90388,nan,nan,0.00307,0,0.002971,0.002971,0.002971
73,1518.28,3.25655,3.15778,1.78477,0.00289,1.16081,0.23451,0.26684,0.14238,0.03366,0.14128,0.19883,0.07629,0.01821,2.94276,nan,nan,0.0031,0,0.002872,0.002872,0.002872
74,1538.86,3.3152,3.11716,1.90681,0.0032,1.77506,0.27983,0.32124,0.19311,0.04929,0.22372,0.28368,0.15082,0.03849,2.77799,nan,nan,0.00307,0,0.002773,0.002773,0.002773
75,1559.46,3.30738,3.43099,2.00829,0.00322,1.74968,0.28873,0.30181,0.19797,0.0527,0.28068,0.29339,0.19665,0.0511,2.78875,3.13001,1.79151,0.00311,0,0.002674,0.002674,0.002674
76,1578.89,3.25031,3.70725,2.05343,0.00302,1.67466,0.28329,0.35104,0.20995,0.05521,0.23475,0.3159,0.16792,0.04166,2.74149,3.06299,1.71452,0.00294,0,0.002575,0.002575,0.002575
77,1598.79,3.19027,3.41367,2.14656,0.00297,1.51039,0.30626,0.32966,0.21459,0.05679,0.22241,0.28692,0.14838,0.03766,2.80869,nan,nan,0.00305,0,0.002476,0.002476,0.002476
78,1617.38,3.38191,3.56737,1.96044,0.00272,1.38413,0.3203,0.28497,0.21739,0.06149,0.29045,0.25842,0.19171,0.05127,2.72807,nan,nan,0.00299,0,0.002377,0.002377,0.002377
