epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
26,707.434,4.74804,4.74966,5.26778,0.00283,2.3199,0.41648,0.46735,0.35667,0.10166,0.36687,0.44948,0.30375,0.08524,4.87846,5.16766,3.88249,0.00351,0,9.33683e-05,9.33683e-05,9.33683e-05
27,732.079,6.231,7.54236,4.82258,0.00325,3.54553,0.41209,0.45013,0.35239,0.10219,0.36909,0.42095,0.30582,0.08569,4.85653,5.16652,3.98485,0.00349,0,9.28405e-05,9.28405e-05,9.28405e-05
28,759.609,6.16558,6.46314,4.47851,0.00277,2.78292,0.42239,0.4864,0.37055,0.10788,0.37735,0.4579,0.32026,0.08951,4.8649,5.10528,3.81625,0.0035,0,9.22942e-05,9.22942e-05,9.22942e-05
29,787.432,4.7071,5.03967,3.93186,0.00244,2.45617,0.43251,0.49657,0.37326,0.10979,0.39682,0.45166,0.32613,0.08661,4.8116,5.13041,3.83042,0.00345,0,9.17296e-05,9.17296e-05,9.17296e-05
30,813.582,5.75926,6.5087,5.0679,0.00308,3.06746,0.41984,0.47604,0.37156,0.10841,0.39303,0.44119,0.32207,0.09212,4.84427,5.20137,3.81332,0.0035,0,9.11469e-05,9.11469e-05,9.11469e-05
31,839.497,6.82895,7.51836,6.26741,0.00377,3.24634,0.42389,0.4715,0.37537,0.11051,0.39496,0.45272,0.328,0.09665,4.82335,5.23041,3.79405,0.00346,0,9.05463e-05,9.05463e-05,9.05463e-05
32,865.111,5.7507,6.25741,4.77652,0.00331,2.8557,0.43132,0.48251,0.38746,0.11592,0.38019,0.43303,0.31287,0.08541,4.82037,5.17942,3.74698,0.00345,0,8.99282e-05,8.99282e-05,8.99282e-05
33,889.945,6.03253,6.31663,4.67555,0.00293,3.07488,0.43819,0.49676,0.39054,0.11592,0.36001,0.4307,0.29674,0.07738,4.82541,5.18183,3.7384,0.00345,0,8.92928e-05,8.92928e-05,8.92928e-05
34,914.819,5.65925,7.03634,4.83249,0.00281,2.55985,0.45051,0.49806,0.40884,0.11966,0.39038,0.44365,0.32499,0.08495,4.84142,5.16784,3.69913,0.00347,0,8.86404e-05,8.86404e-05,8.86404e-05
35,941.822,4.76363,5.4424,4.41611,0.00213,2.33051,0.45357,0.48316,0.40558,0.12046,0.40606,0.45209,0.33883,0.09333,4.8166,5.22427,3.73817,0.00345,0,8.79713e-05,8.79713e-05,8.79713e-05
36,968.772,5.29681,6.10395,4.54076,0.00249,3.02178,0.43103,0.48381,0.38771,0.11422,0.40113,0.4579,0.34078,0.09209,4.81656,5.23749,3.63551,0.00347,0,8.72857e-05,8.72857e-05,8.72857e-05
37,994.736,5.86937,6.74858,4.76167,0.00343,2.27698,0.4376,0.49588,0.39404,0.11593,0.38163,0.44754,0.31344,0.08308,4.81477,5.19162,3.64501,0.00346,0,8.65839e-05,8.65839e-05,8.65839e-05
38,1021.48,5.24367,5.5457,4.91919,0.00303,3.14007,0.44463,0.49806,0.38734,0.11325,0.34002,0.4443,0.27633,0.07131,4.81931,5.23336,3.59615,0.00345,0,8.58664e-05,8.58664e-05,8.58664e-05
39,1046.69,5.573,5.50471,4.49202,0.00276,2.64301,0.44589,0.49028,0.3925,0.11567,0.36434,0.45661,0.29052,0.07361,4.80372,5.11159,3.64497,0.00346,0,8.51333e-05,8.51333e-05,8.51333e-05
40,1073.27,5.50804,5.48617,4.10956,0.003,2.50727,0.46022,0.49935,0.40381,0.11976,0.39654,0.43329,0.31172,0.08167,4.79118,5.14046,3.64925,0.00338,0,8.43851e-05,8.43851e-05,8.43851e-05
41,1099.17,6.07854,5.92529,4.53406,0.00356,2.64749,0.4527,0.49935,0.40864,0.12252,0.38732,0.42228,0.30682,0.08176,4.75735,5.178,3.65984,0.00335,0,8.3622e-05,8.3622e-05,8.3622e-05
42,1125.58,6.38861,7.29776,4.40128,0.00305,3.00731,0.46905,0.50751,0.42379,0.12979,0.39409,0.45855,0.33249,0.09053,4.70987,4.99595,3.55017,0.00332,0,8.28443e-05,8.28443e-05,8.28443e-05
43,1153.89,6.30979,6.39688,4.80969,0.00337,3.29751,0.47847,0.49806,0.41516,0.12572,0.3626,0.47124,0.31856,0.08694,4.72749,5.02736,3.52684,0.00335,0,8.20525e-05,8.20525e-05,8.20525e-05
44,1179.96,5.47673,5.68768,4.02332,0.00242,2.54797,0.47093,0.51749,0.42239,0.12522,0.37488,0.4715,0.3222,0.08892,4.71975,5.06166,3.49231,0.00334,0,8.12468e-05,8.12468e-05,8.12468e-05
45,1206.93,6.02771,7.0347,4.45662,0.003,2.8447,0.47026,0.50583,0.42017,0.12226,0.35825,0.44689,0.29999,0.08115,4.71879,5.16836,3.57793,0.00329,0,8.04277e-05,8.04277e-05,8.04277e-05
46,1233.59,5.86034,5.8037,4.22959,0.00274,2.38996,0.4775,0.50777,0.42556,0.12508,0.38499,0.44313,0.31642,0.0839,4.72224,5.18175,3.53091,0.00329,0,7.95954e-05,7.95954e-05,7.95954e-05
47,1259.22,5.86459,6.6451,4.4532,0.00287,2.44001,0.47671,0.50777,0.42926,0.12879,0.38909,0.44495,0.324,0.08672,4.67277,5.11107,3.5673,0.00323,0,7.87503e-05,7.87503e-05,7.87503e-05
48,1285.76,5.23735,5.46334,4.02312,0.00256,2.15436,0.46936,0.50297,0.41877,0.12699,0.3544,0.45402,0.30275,0.08171,4.67538,5.09973,3.55938,0.00325,0,7.78929e-05,7.78929e-05,7.78929e-05
49,1313.46,6.01139,6.04094,4.67672,0.00385,2.00646,0.48619,0.51619,0.43625,0.13022,0.40114,0.46826,0.33297,0.08906,4.70399,5.04362,3.45566,0.00331,0,7.70234e-05,7.70234e-05,7.70234e-05
50,1340.19,5.42063,5.87716,4.07206,0.00279,2.50904,0.48758,0.53627,0.43883,0.12904,0.3951,0.47733,0.33578,0.0912,4.71836,5.02742,3.38868,0.00334,0,7.61423e-05,7.61423e-05,7.61423e-05
51,1366.53,4.62573,5.19231,3.74934,0.0027,2.38204,0.48688,0.53109,0.44049,0.13094,0.40755,0.47733,0.3449,0.0911,4.70696,5.01839,3.36368,0.00333,0,7.525e-05,7.525e-05,7.525e-05
52,1393.65,4.16339,4.19159,3.70739,0.0021,1.94581,0.48992,0.52915,0.44535,0.13285,0.4294,0.4715,0.35437,0.09373,4.66327,5.01368,3.36272,0.00327,0,7.43468e-05,7.43468e-05,7.43468e-05
53,1420.79,5.21858,5.66078,4.42751,0.00319,2.6121,0.4753,0.53756,0.43806,0.13293,0.40837,0.47345,0.34186,0.09087,4.63418,5.1654,3.33624,0.00323,0,7.34332e-05,7.34332e-05,7.34332e-05
54,1446.07,6.09056,6.35578,4.34464,0.00288,2.8269,0.48243,0.53109,0.44327,0.13578,0.38869,0.47992,0.33778,0.09084,4.58349,5.1066,3.36281,0.00319,0,7.25094e-05,7.25094e-05,7.25094e-05
