
--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-11 08:02:20.640849 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
13:16:58 | 23.10 | 228.67 | 18.38
13:17:15 | 23.17 | 228.59 | 18.41
13:17:32 | 23.35 | 228.42 | 18.43
13:17:49 | 23.42 | 228.35 | 18.46
13:18:06 | 23.43 | 228.34 | 18.48
13:18:23 | 23.33 | 228.44 | 18.50
13:18:40 | 23.50 | 228.27 | 18.53
13:18:57 | 23.38 | 228.39 | 18.55
13:19:14 | 23.40 | 228.36 | 18.58
13:19:31 | 23.40 | 228.36 | 18.60
13:19:49 | 23.53 | 228.24 | 18.63
13:20:06 | 23.49 | 228.28 | 18.65
13:20:23 | 23.48 | 228.29 | 18.68
13:20:40 | 23.36 | 228.40 | 18.70
13:20:57 | 23.63 | 228.13 | 18.72
13:21:15 | 23.48 | 228.29 | 18.75
13:21:32 | 23.49 | 228.28 | 18.77
13:21:49 | 23.65 | 228.11 | 18.80
13:22:07 | 23.68 | 228.08 | 18.82
13:22:24 | 23.71 | 228.06 | 18.84
13:22:41 | 23.70 | 228.07 | 18.87
13:22:58 | 23.73 | 228.03 | 18.89
13:23:16 | 23.81 | 227.96 | 18.92
13:23:33 | 23.63 | 228.14 | 18.94
13:23:51 | 23.65 | 228.11 | 18.96
13:24:08 | 23.74 | 228.03 | 18.99
13:24:26 | 23.96 | 227.81 | 19.01
13:24:43 | 23.75 | 228.02 | 19.03
13:25:01 | 23.77 | 228.00 | 19.06
13:25:18 | 23.78 | 227.99 | 19.09
13:25:36 | 23.86 | 227.90 | 19.11
13:25:53 | 23.75 | 228.02 | 19.13
13:26:11 | 23.90 | 227.86 | 19.16
13:26:28 | 23.89 | 227.88 | 19.18
13:26:46 | 24.03 | 227.73 | 19.21
13:27:03 | 23.94 | 227.83 | 19.23
13:27:21 | 24.05 | 227.72 | 19.25
13:27:38 | 23.95 | 227.82 | 19.28
13:27:56 | 24.21 | 227.56 | 19.30
13:28:14 | 24.07 | 227.70 | 19.33
13:28:31 | 24.20 | 227.56 | 19.35
13:28:49 | 24.22 | 227.55 | 19.38
13:29:07 | 24.23 | 227.54 | 19.40
13:29:24 | 24.22 | 227.55 | 19.43
13:29:42 | 24.18 | 227.58 | 19.45
13:30:00 | 24.34 | 227.43 | 19.47
13:30:17 | 24.10 | 227.67 | 19.50
13:30:35 | 24.24 | 227.52 | 19.52
13:30:53 | 24.25 | 227.52 | 19.55
13:31:11 | 24.43 | 227.34 | 19.57
13:31:28 | 24.47 | 227.30 | 19.59
13:31:46 | 24.49 | 227.28 | 19.62
13:32:04 | 24.34 | 227.42 | 19.65
13:32:22 | 24.42 | 227.35 | 19.67
