
--- INICIO MONITOREO V27.3 MICRO 2026-05-14 09:25:40.329692 ---
09:25:40 | Sys:79.98G | Proc:0.44G | GPU:0, 21, 8 | 1, 22, 8 | 2, 28, 8 | 3, 28, 3668 | 4, 30, 3650 | 5, 26, 3648 | 6, 31, 3630 | 7, 31, 3668 |
09:25:56 | Sys:81.82G | Proc:0.89G | GPU:0, 21, 8 | 1, 22, 8 | 2, 27, 8 | 3, 27, 3668 | 4, 30, 3650 | 5, 26, 3648 | 6, 30, 3630 | 7, 30, 3668 |
09:26:11 | Sys:86.02G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 31, 540 | 3, 30, 4100 | 4, 34, 4082 | 5, 31, 4080 | 6, 34, 4062 | 7, 35, 4100 |
09:26:26 | Sys:97.87G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 37, 3474 | 3, 35, 7136 | 4, 39, 7562 | 5, 35, 7112 | 6, 40, 7140 | 7, 39, 7128 |
09:26:42 | Sys:98.59G | Proc:0.89G | GPU:0, 21, 8 | 1, 22, 8 | 2, 43, 3520 | 3, 43, 7184 | 4, 47, 7608 | 5, 42, 7156 | 6, 47, 7178 | 7, 47, 7182 |
09:26:57 | Sys:84.76G | Proc:0.89G | GPU:0, 21, 8 | 1, 22, 8 | 2, 45, 8 | 3, 45, 7204 | 4, 47, 7634 | 5, 44, 7184 | 6, 48, 7206 | 7, 49, 7204 |

--- INICIO MONITOREO V27.3 MICRO 2026-05-14 09:27:16.181619 ---
09:27:16 | Sys:79.92G | Proc:0.44G | GPU:0, 21, 8 | 1, 22, 8 | 2, 41, 8 | 3, 40, 3668 | 4, 48, 3650 | 5, 39, 3648 | 6, 44, 3630 | 7, 44, 3668 |
09:27:32 | Sys:81.64G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 37, 8 | 3, 37, 3668 | 4, 49, 3650 | 5, 36, 3648 | 6, 41, 3630 | 7, 41, 3668 |
09:27:47 | Sys:85.95G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 38, 540 | 3, 39, 4100 | 4, 49, 4082 | 5, 38, 4080 | 6, 42, 4062 | 7, 42, 4100 |
09:28:02 | Sys:97.79G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 42, 3474 | 3, 43, 7136 | 4, 52, 7562 | 5, 42, 7112 | 6, 46, 7132 | 7, 47, 7124 |
09:28:18 | Sys:98.71G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 48, 3520 | 3, 49, 7184 | 4, 58, 7608 | 5, 47, 7156 | 6, 52, 7178 | 7, 51, 7182 |
09:28:34 | Sys:99.20G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 51, 3552 | 3, 52, 7210 | 4, 59, 7640 | 5, 50, 7190 | 6, 55, 7210 | 7, 54, 7208 |
