
--- INICIO MONITOREO V27.1 MANUAL 2026-05-11 10:24:51.070967 ---
Timestamp | Sys_Used(GB) | Free(GB) | Proc_RAM(GB) | GPU_Stats
10:24:51 | 87.10 | 164.67 | 0.43 | 0, 21, 8 | 1, 22, 8 | 2, 22, 8 | 3, 23, 3668 | 4, 24, 3650 | 5, 23, 3648 | 6, 23, 3630 | 7, 26, 3668 |
10:25:07 | 88.17 | 163.59 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 22, 8 | 3, 23, 3668 | 4, 24, 3650 | 5, 23, 3648 | 6, 24, 3630 | 7, 26, 3668 |
10:25:22 | 91.36 | 160.40 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 22, 8 | 3, 24, 3936 | 4, 24, 3650 | 5, 23, 3648 | 6, 25, 3898 | 7, 26, 3668 |
10:25:38 | 93.45 | 158.32 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 29, 540 | 3, 29, 4100 | 4, 30, 4082 | 5, 28, 4080 | 6, 30, 4062 | 7, 31, 4100 |
10:25:53 | 108.57 | 143.19 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 33, 5892 | 3, 34, 6468 | 4, 35, 5126 | 5, 33, 6160 | 6, 34, 4924 | 7, 36, 6660 |
10:26:09 | 110.55 | 141.22 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 38, 7180 | 3, 39, 10764 | 4, 42, 10606 | 5, 38, 10744 | 6, 39, 11138 | 7, 41, 10768 |
10:26:25 | 111.26 | 140.51 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 45, 7150 | 3, 46, 10686 | 4, 47, 10774 | 5, 45, 10706 | 6, 45, 10700 | 7, 46, 10746 |
10:26:40 | 111.41 | 140.36 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 48, 7136 | 3, 48, 10680 | 4, 50, 10696 | 5, 47, 10694 | 6, 49, 10732 | 7, 50, 10744 |
10:26:56 | 111.74 | 140.03 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 50, 7264 | 3, 51, 8278 | 4, 52, 7850 | 5, 49, 7484 | 6, 51, 7002 | 7, 52, 6730 |
10:27:11 | 111.99 | 139.77 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 53, 7366 | 3, 56, 10638 | 4, 56, 10916 | 5, 53, 10940 | 6, 56, 10936 | 7, 56, 10974 |
10:27:27 | 112.03 | 139.74 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 56, 7352 | 3, 57, 10974 | 4, 58, 10900 | 5, 55, 10920 | 6, 58, 10908 | 7, 58, 10960 |
10:27:43 | 112.21 | 139.56 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 57, 7344 | 3, 60, 10902 | 4, 60, 10908 | 5, 57, 10920 | 6, 61, 10908 | 7, 60, 10956 |
10:27:59 | 112.15 | 139.62 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 58, 7276 | 3, 59, 8302 | 4, 61, 7882 | 5, 56, 7490 | 6, 60, 6972 | 7, 59, 6756 |
10:28:14 | 112.31 | 139.46 | 0.89 | 0, 21, 8 | 1, 22, 8 | 2, 60, 7208 | 3, 62, 8302 | 4, 64, 7888 | 5, 60, 7492 | 6, 62, 6970 | 7, 61, 6758 |
10:28:30 | 112.48 | 139.29 | 0.89 | 0, 20, 8 | 1, 22, 8 | 2, 61, 7360 | 3, 62, 10920 | 4, 64, 10926 | 5, 59, 10938 | 6, 64, 10922 | 7, 64, 10974 |
