
--- INICIO MONITOREO V27.2 PEQUEÑO 2026-05-14 08:08:15.183153 ---
08:08:15 | Sys:80.02G | Proc:0.44G | GPU:0, 24, 8 | 1, 25, 8 | 2, 26, 8 | 3, 26, 3668 | 4, 27, 3650 | 5, 26, 3648 | 6, 26, 3630 | 7, 29, 3668 |
08:08:31 | Sys:81.58G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 26, 8 | 3, 26, 3668 | 4, 27, 3650 | 5, 26, 3648 | 6, 27, 3630 | 7, 29, 3668 |
08:08:47 | Sys:85.39G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 28, 376 | 3, 29, 3936 | 4, 30, 3918 | 5, 28, 3916 | 6, 29, 3898 | 7, 30, 3936 |
08:09:02 | Sys:95.76G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 32, 580 | 3, 34, 4226 | 4, 35, 4208 | 5, 33, 4206 | 6, 34, 4186 | 7, 36, 4224 |
08:09:18 | Sys:98.16G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 39, 3476 | 3, 40, 7136 | 4, 42, 7568 | 5, 39, 7114 | 6, 40, 7480 | 7, 43, 7134 |
08:09:33 | Sys:98.64G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 45, 3548 | 3, 45, 7352 | 4, 49, 7638 | 5, 47, 7184 | 6, 47, 7546 | 7, 49, 7202 |
08:09:48 | Sys:99.18G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 48, 3576 | 3, 50, 7378 | 4, 53, 7668 | 5, 49, 7214 | 6, 51, 7574 | 7, 52, 7232 |
08:10:04 | Sys:99.15G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 52, 3576 | 3, 54, 7378 | 4, 56, 7668 | 5, 52, 7214 | 6, 54, 7574 | 7, 55, 7232 |
08:10:20 | Sys:99.35G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 57, 3578 | 3, 58, 7378 | 4, 58, 7668 | 5, 56, 7214 | 6, 57, 7574 | 7, 58, 7232 |
08:10:35 | Sys:99.43G | Proc:0.89G | GPU:0, 24, 8 | 1, 25, 8 | 2, 58, 3578 | 3, 61, 7378 | 4, 62, 7668 | 5, 58, 7214 | 6, 61, 7574 | 7, 60, 7232 |
