
--- INICIO PIPELINE MOSCAS 2026-03-30 17:42:26.066087 ---
23:10:09 | RAM: 58.5GB | Proc: 1.0GB
23:10:09 | RAM: 58.5GB | Proc: 1.0GB
23:10:19 | RAM: 58.4GB | Proc: 1.0GB
23:10:20 | RAM: 58.4GB | Proc: 1.0GB
23:10:30 | RAM: 58.3GB | Proc: 1.0GB
23:10:30 | RAM: 58.3GB | Proc: 1.0GB
23:10:40 | RAM: 58.4GB | Proc: 1.0GB
23:10:41 | RAM: 58.4GB | Proc: 1.0GB
23:10:51 | RAM: 58.3GB | Proc: 1.0GB
23:10:52 | RAM: 58.4GB | Proc: 1.0GB
23:11:01 | RAM: 58.3GB | Proc: 1.0GB
23:11:03 | RAM: 58.4GB | Proc: 1.0GB
23:11:12 | RAM: 58.5GB | Proc: 1.0GB
23:11:14 | RAM: 58.5GB | Proc: 1.0GB
23:11:22 | RAM: 58.3GB | Proc: 1.0GB
23:11:24 | RAM: 58.4GB | Proc: 1.0GB
23:11:33 | RAM: 58.3GB | Proc: 1.0GB
23:11:35 | RAM: 58.4GB | Proc: 1.0GB
23:11:44 | RAM: 58.4GB | Proc: 1.0GB
23:11:45 | RAM: 58.5GB | Proc: 1.0GB
23:11:55 | RAM: 58.4GB | Proc: 1.0GB
23:11:55 | RAM: 58.3GB | Proc: 1.0GB
23:12:05 | RAM: 58.3GB | Proc: 1.0GB
23:12:06 | RAM: 58.4GB | Proc: 1.0GB
23:12:16 | RAM: 58.3GB | Proc: 1.0GB
23:12:17 | RAM: 58.3GB | Proc: 1.0GB
23:12:27 | RAM: 58.3GB | Proc: 1.0GB
23:12:27 | RAM: 58.4GB | Proc: 1.0GB
23:12:38 | RAM: 58.3GB | Proc: 1.0GB
23:12:38 | RAM: 58.3GB | Proc: 1.0GB
23:12:48 | RAM: 58.3GB | Proc: 1.0GB
23:12:49 | RAM: 58.3GB | Proc: 1.0GB
23:12:59 | RAM: 58.5GB | Proc: 1.0GB
23:12:59 | RAM: 58.4GB | Proc: 1.0GB
23:13:09 | RAM: 58.4GB | Proc: 1.0GB
23:13:10 | RAM: 58.5GB | Proc: 1.0GB
23:13:20 | RAM: 58.2GB | Proc: 1.0GB
23:13:20 | RAM: 58.2GB | Proc: 1.0GB
23:13:30 | RAM: 58.2GB | Proc: 1.0GB
23:13:31 | RAM: 58.2GB | Proc: 1.0GB
23:13:41 | RAM: 58.2GB | Proc: 1.0GB
23:13:41 | RAM: 58.2GB | Proc: 1.0GB
23:13:51 | RAM: 58.3GB | Proc: 1.0GB
23:13:52 | RAM: 58.3GB | Proc: 1.0GB
23:14:01 | RAM: 58.5GB | Proc: 1.0GB
23:14:03 | RAM: 58.3GB | Proc: 1.0GB
23:14:12 | RAM: 58.5GB | Proc: 1.0GB
23:14:13 | RAM: 58.3GB | Proc: 1.0GB
23:14:22 | RAM: 58.3GB | Proc: 1.0GB
23:14:23 | RAM: 58.3GB | Proc: 1.0GB
23:14:32 | RAM: 58.4GB | Proc: 1.0GB
23:14:34 | RAM: 58.4GB | Proc: 1.0GB
23:14:43 | RAM: 58.3GB | Proc: 1.0GB
23:14:44 | RAM: 58.4GB | Proc: 1.0GB
23:14:53 | RAM: 58.4GB | Proc: 1.0GB
23:14:55 | RAM: 58.3GB | Proc: 1.0GB
23:15:03 | RAM: 58.3GB | Proc: 1.0GB
23:15:06 | RAM: 58.4GB | Proc: 1.0GB
23:15:14 | RAM: 58.3GB | Proc: 1.0GB
23:15:16 | RAM: 58.4GB | Proc: 1.0GB
23:15:25 | RAM: 58.4GB | Proc: 1.0GB
23:15:27 | RAM: 58.3GB | Proc: 1.0GB
23:15:35 | RAM: 58.3GB | Proc: 1.0GB
23:15:37 | RAM: 58.3GB | Proc: 1.0GB
23:15:46 | RAM: 58.2GB | Proc: 1.0GB
23:15:48 | RAM: 58.3GB | Proc: 1.0GB
23:15:56 | RAM: 58.4GB | Proc: 1.0GB
23:15:58 | RAM: 58.5GB | Proc: 1.0GB
23:16:07 | RAM: 58.4GB | Proc: 1.0GB
23:16:09 | RAM: 58.4GB | Proc: 1.0GB
23:16:17 | RAM: 58.4GB | Proc: 1.0GB
23:16:20 | RAM: 58.4GB | Proc: 1.0GB
23:16:28 | RAM: 58.4GB | Proc: 1.0GB
23:16:30 | RAM: 58.5GB | Proc: 1.0GB
23:16:38 | RAM: 58.3GB | Proc: 1.0GB
23:16:41 | RAM: 58.3GB | Proc: 1.0GB
23:16:49 | RAM: 58.3GB | Proc: 1.0GB
23:16:51 | RAM: 58.3GB | Proc: 1.0GB
23:16:59 | RAM: 58.4GB | Proc: 1.0GB
23:17:02 | RAM: 58.4GB | Proc: 1.0GB
23:17:10 | RAM: 58.3GB | Proc: 1.0GB
23:17:12 | RAM: 58.4GB | Proc: 1.0GB
23:17:20 | RAM: 58.5GB | Proc: 1.0GB
23:17:23 | RAM: 58.3GB | Proc: 1.0GB
23:17:31 | RAM: 58.3GB | Proc: 1.0GB
23:17:34 | RAM: 58.2GB | Proc: 1.0GB
23:17:41 | RAM: 58.3GB | Proc: 1.0GB
23:17:44 | RAM: 58.3GB | Proc: 1.0GB
23:17:52 | RAM: 58.2GB | Proc: 1.0GB
23:17:55 | RAM: 58.4GB | Proc: 1.0GB
23:18:03 | RAM: 58.3GB | Proc: 1.0GB
23:18:06 | RAM: 58.2GB | Proc: 1.0GB
23:18:13 | RAM: 58.4GB | Proc: 1.0GB
23:18:16 | RAM: 58.3GB | Proc: 1.0GB
23:18:24 | RAM: 58.3GB | Proc: 1.0GB
23:18:27 | RAM: 58.3GB | Proc: 1.0GB
23:18:34 | RAM: 58.4GB | Proc: 1.0GB
23:18:38 | RAM: 58.3GB | Proc: 1.0GB
23:18:44 | RAM: 58.3GB | Proc: 1.0GB
23:18:48 | RAM: 58.6GB | Proc: 1.0GB
23:18:55 | RAM: 58.3GB | Proc: 1.0GB
23:18:59 | RAM: 58.4GB | Proc: 1.0GB
23:19:05 | RAM: 58.4GB | Proc: 1.0GB
23:19:09 | RAM: 58.2GB | Proc: 1.0GB
23:19:15 | RAM: 58.2GB | Proc: 1.0GB
23:19:20 | RAM: 58.3GB | Proc: 1.0GB
23:19:26 | RAM: 58.2GB | Proc: 1.0GB
23:19:30 | RAM: 58.2GB | Proc: 1.0GB
23:19:37 | RAM: 58.3GB | Proc: 1.0GB
23:19:41 | RAM: 58.2GB | Proc: 1.0GB
23:19:47 | RAM: 58.3GB | Proc: 1.0GB
23:19:52 | RAM: 58.2GB | Proc: 1.0GB
23:19:58 | RAM: 58.2GB | Proc: 1.0GB
23:20:02 | RAM: 58.2GB | Proc: 1.0GB
23:20:08 | RAM: 58.1GB | Proc: 1.0GB
23:20:13 | RAM: 58.4GB | Proc: 1.0GB
23:20:19 | RAM: 58.2GB | Proc: 1.0GB
23:20:23 | RAM: 58.3GB | Proc: 1.0GB
23:20:30 | RAM: 58.4GB | Proc: 1.0GB
23:20:34 | RAM: 58.2GB | Proc: 1.0GB
23:20:40 | RAM: 58.3GB | Proc: 1.0GB
23:20:44 | RAM: 58.4GB | Proc: 1.0GB
23:20:51 | RAM: 58.2GB | Proc: 1.0GB
23:20:55 | RAM: 58.2GB | Proc: 1.0GB
23:21:01 | RAM: 58.4GB | Proc: 1.0GB
23:21:05 | RAM: 58.3GB | Proc: 1.0GB
23:21:12 | RAM: 58.4GB | Proc: 1.0GB
23:21:16 | RAM: 58.5GB | Proc: 1.0GB
23:21:23 | RAM: 58.2GB | Proc: 1.0GB
23:21:27 | RAM: 58.2GB | Proc: 1.0GB
23:21:34 | RAM: 58.2GB | Proc: 1.0GB
23:21:38 | RAM: 58.5GB | Proc: 1.0GB
23:21:44 | RAM: 58.2GB | Proc: 1.0GB
23:21:48 | RAM: 58.3GB | Proc: 1.0GB
23:21:55 | RAM: 58.2GB | Proc: 1.0GB
23:21:59 | RAM: 58.3GB | Proc: 1.0GB
23:22:05 | RAM: 58.2GB | Proc: 1.0GB
23:22:09 | RAM: 58.4GB | Proc: 1.0GB
23:22:16 | RAM: 58.3GB | Proc: 1.0GB
23:22:19 | RAM: 58.3GB | Proc: 1.0GB
23:22:26 | RAM: 58.5GB | Proc: 1.0GB
23:22:30 | RAM: 58.4GB | Proc: 1.0GB
23:22:37 | RAM: 58.4GB | Proc: 1.0GB
23:22:41 | RAM: 58.5GB | Proc: 1.0GB
23:22:47 | RAM: 58.3GB | Proc: 1.0GB
23:22:52 | RAM: 58.4GB | Proc: 1.0GB
23:22:58 | RAM: 58.3GB | Proc: 1.0GB
23:23:02 | RAM: 58.4GB | Proc: 1.0GB
23:23:08 | RAM: 58.3GB | Proc: 1.0GB
23:23:12 | RAM: 58.4GB | Proc: 1.0GB
23:23:19 | RAM: 58.4GB | Proc: 1.0GB
23:23:23 | RAM: 58.3GB | Proc: 1.0GB
23:23:29 | RAM: 58.4GB | Proc: 1.0GB
23:23:34 | RAM: 58.5GB | Proc: 1.0GB
23:23:40 | RAM: 58.4GB | Proc: 1.0GB
23:23:44 | RAM: 58.4GB | Proc: 1.0GB
23:23:50 | RAM: 58.5GB | Proc: 1.0GB
23:23:55 | RAM: 58.4GB | Proc: 1.0GB
23:24:01 | RAM: 58.4GB | Proc: 1.0GB
23:24:05 | RAM: 58.4GB | Proc: 1.0GB
23:24:11 | RAM: 58.5GB | Proc: 1.0GB
23:24:16 | RAM: 58.3GB | Proc: 1.0GB
23:24:22 | RAM: 58.5GB | Proc: 1.0GB
23:24:26 | RAM: 58.3GB | Proc: 1.0GB
23:24:33 | RAM: 58.4GB | Proc: 1.0GB
23:24:37 | RAM: 58.3GB | Proc: 1.0GB
23:24:43 | RAM: 58.3GB | Proc: 1.0GB
23:24:47 | RAM: 58.3GB | Proc: 1.0GB
23:24:54 | RAM: 58.4GB | Proc: 1.0GB
23:24:58 | RAM: 58.4GB | Proc: 1.0GB
23:25:04 | RAM: 58.3GB | Proc: 1.0GB
23:25:08 | RAM: 58.3GB | Proc: 1.0GB
23:25:15 | RAM: 58.3GB | Proc: 1.0GB
23:25:19 | RAM: 58.3GB | Proc: 1.0GB
23:25:25 | RAM: 58.4GB | Proc: 1.0GB
23:25:29 | RAM: 58.2GB | Proc: 1.0GB
23:25:35 | RAM: 58.3GB | Proc: 1.0GB
23:25:40 | RAM: 58.3GB | Proc: 1.0GB
23:25:46 | RAM: 58.3GB | Proc: 1.0GB
23:25:50 | RAM: 58.3GB | Proc: 1.0GB
23:25:57 | RAM: 58.3GB | Proc: 1.0GB
23:26:01 | RAM: 58.3GB | Proc: 1.0GB
23:26:07 | RAM: 58.4GB | Proc: 1.0GB
23:26:11 | RAM: 58.3GB | Proc: 1.0GB
23:26:18 | RAM: 58.2GB | Proc: 1.0GB
23:26:22 | RAM: 58.2GB | Proc: 1.0GB
23:26:28 | RAM: 58.3GB | Proc: 1.0GB
23:26:32 | RAM: 58.2GB | Proc: 1.0GB
23:26:39 | RAM: 58.2GB | Proc: 1.0GB
23:26:43 | RAM: 58.5GB | Proc: 1.0GB
23:26:49 | RAM: 58.3GB | Proc: 1.0GB
23:26:53 | RAM: 58.4GB | Proc: 1.0GB
23:27:00 | RAM: 58.3GB | Proc: 1.0GB
23:27:04 | RAM: 58.3GB | Proc: 1.0GB
23:27:10 | RAM: 58.2GB | Proc: 1.0GB
23:27:14 | RAM: 58.4GB | Proc: 1.0GB
23:27:21 | RAM: 58.3GB | Proc: 1.0GB
23:27:25 | RAM: 58.5GB | Proc: 1.0GB
23:27:31 | RAM: 58.6GB | Proc: 1.0GB
23:27:35 | RAM: 58.4GB | Proc: 1.0GB
23:27:42 | RAM: 58.3GB | Proc: 1.0GB
23:27:46 | RAM: 58.2GB | Proc: 1.0GB
23:27:53 | RAM: 58.2GB | Proc: 1.0GB
23:27:56 | RAM: 58.3GB | Proc: 1.0GB
23:28:03 | RAM: 58.4GB | Proc: 1.0GB
23:28:07 | RAM: 58.3GB | Proc: 1.0GB
23:28:14 | RAM: 58.3GB | Proc: 1.0GB
23:28:17 | RAM: 58.3GB | Proc: 1.0GB
23:28:24 | RAM: 58.4GB | Proc: 1.0GB
23:28:28 | RAM: 58.4GB | Proc: 1.0GB
23:28:35 | RAM: 58.4GB | Proc: 1.0GB
23:28:38 | RAM: 58.5GB | Proc: 1.0GB
23:28:45 | RAM: 58.4GB | Proc: 1.0GB
23:28:49 | RAM: 58.4GB | Proc: 1.0GB
23:28:56 | RAM: 58.5GB | Proc: 1.0GB
23:29:00 | RAM: 58.2GB | Proc: 1.0GB
23:29:07 | RAM: 58.3GB | Proc: 1.0GB
23:29:11 | RAM: 58.4GB | Proc: 1.0GB
23:29:17 | RAM: 58.2GB | Proc: 1.0GB
23:29:22 | RAM: 58.3GB | Proc: 1.0GB
23:29:28 | RAM: 58.5GB | Proc: 1.0GB
23:29:32 | RAM: 58.3GB | Proc: 1.0GB
23:29:39 | RAM: 58.3GB | Proc: 1.0GB
23:29:43 | RAM: 58.4GB | Proc: 1.0GB
23:29:50 | RAM: 58.3GB | Proc: 1.0GB
23:29:53 | RAM: 58.4GB | Proc: 1.0GB
23:30:00 | RAM: 58.5GB | Proc: 1.0GB
23:30:04 | RAM: 58.4GB | Proc: 1.0GB
23:30:11 | RAM: 58.4GB | Proc: 1.0GB
23:30:14 | RAM: 58.3GB | Proc: 1.0GB
23:30:21 | RAM: 58.3GB | Proc: 1.0GB
23:30:25 | RAM: 58.2GB | Proc: 1.0GB
23:30:32 | RAM: 58.4GB | Proc: 1.0GB
23:30:35 | RAM: 58.5GB | Proc: 1.0GB
23:30:43 | RAM: 58.3GB | Proc: 1.0GB
23:30:46 | RAM: 58.4GB | Proc: 1.0GB
23:30:53 | RAM: 58.4GB | Proc: 1.0GB
23:30:57 | RAM: 58.3GB | Proc: 1.0GB
23:31:04 | RAM: 58.2GB | Proc: 1.0GB
23:31:08 | RAM: 58.4GB | Proc: 1.0GB
23:31:14 | RAM: 58.2GB | Proc: 1.0GB
23:31:18 | RAM: 58.2GB | Proc: 1.0GB
23:31:25 | RAM: 58.3GB | Proc: 1.0GB
23:31:29 | RAM: 58.3GB | Proc: 1.0GB
23:31:35 | RAM: 58.2GB | Proc: 1.0GB
23:31:39 | RAM: 58.2GB | Proc: 1.0GB
23:31:46 | RAM: 58.3GB | Proc: 1.0GB
23:31:50 | RAM: 58.3GB | Proc: 1.0GB
23:31:57 | RAM: 58.2GB | Proc: 1.0GB
23:32:01 | RAM: 58.4GB | Proc: 1.0GB
23:32:07 | RAM: 58.3GB | Proc: 1.0GB
23:32:11 | RAM: 58.3GB | Proc: 1.0GB
23:32:18 | RAM: 58.4GB | Proc: 1.0GB
23:32:22 | RAM: 58.3GB | Proc: 1.0GB
23:32:28 | RAM: 58.4GB | Proc: 1.0GB
23:32:32 | RAM: 58.4GB | Proc: 1.0GB
23:32:39 | RAM: 58.3GB | Proc: 1.0GB
23:32:43 | RAM: 58.2GB | Proc: 1.0GB
23:32:50 | RAM: 58.3GB | Proc: 1.0GB
23:32:53 | RAM: 58.2GB | Proc: 1.0GB
23:33:00 | RAM: 58.3GB | Proc: 1.0GB
23:33:04 | RAM: 58.2GB | Proc: 1.0GB
23:33:11 | RAM: 58.3GB | Proc: 1.0GB
23:33:15 | RAM: 58.3GB | Proc: 1.0GB
23:33:22 | RAM: 58.2GB | Proc: 1.0GB
23:33:25 | RAM: 58.4GB | Proc: 1.0GB
23:33:32 | RAM: 58.2GB | Proc: 1.0GB
23:33:36 | RAM: 58.2GB | Proc: 1.0GB
23:33:43 | RAM: 58.4GB | Proc: 1.0GB
23:33:46 | RAM: 58.3GB | Proc: 1.0GB
23:33:54 | RAM: 58.3GB | Proc: 1.0GB
23:33:57 | RAM: 58.3GB | Proc: 1.0GB
23:34:04 | RAM: 58.3GB | Proc: 1.0GB
23:34:08 | RAM: 58.2GB | Proc: 1.0GB
23:34:15 | RAM: 58.5GB | Proc: 1.0GB
23:34:18 | RAM: 58.4GB | Proc: 1.0GB
23:34:25 | RAM: 58.4GB | Proc: 1.0GB
23:34:29 | RAM: 58.4GB | Proc: 1.0GB
23:34:36 | RAM: 58.2GB | Proc: 1.0GB
23:34:40 | RAM: 58.3GB | Proc: 1.0GB
23:34:47 | RAM: 58.4GB | Proc: 1.0GB
23:34:50 | RAM: 58.3GB | Proc: 1.0GB
23:34:57 | RAM: 58.3GB | Proc: 1.0GB
23:35:01 | RAM: 58.3GB | Proc: 1.0GB
23:35:08 | RAM: 58.3GB | Proc: 1.0GB
23:35:12 | RAM: 58.3GB | Proc: 1.0GB
23:35:18 | RAM: 58.4GB | Proc: 1.0GB
23:35:22 | RAM: 58.3GB | Proc: 1.0GB
23:35:29 | RAM: 58.3GB | Proc: 1.0GB
23:35:33 | RAM: 58.4GB | Proc: 1.0GB
23:35:40 | RAM: 58.3GB | Proc: 1.0GB
23:35:44 | RAM: 58.3GB | Proc: 1.0GB
23:35:50 | RAM: 58.4GB | Proc: 1.0GB
23:35:55 | RAM: 58.3GB | Proc: 1.0GB
23:36:01 | RAM: 58.3GB | Proc: 1.0GB
23:36:06 | RAM: 58.3GB | Proc: 1.0GB
23:36:12 | RAM: 58.4GB | Proc: 1.0GB
23:36:16 | RAM: 58.4GB | Proc: 1.0GB
23:36:23 | RAM: 58.4GB | Proc: 1.0GB
23:36:27 | RAM: 58.3GB | Proc: 1.0GB
23:36:33 | RAM: 58.3GB | Proc: 1.0GB
23:36:38 | RAM: 58.2GB | Proc: 1.0GB
23:36:44 | RAM: 58.3GB | Proc: 1.0GB
23:36:49 | RAM: 58.4GB | Proc: 1.0GB
23:36:55 | RAM: 58.2GB | Proc: 1.0GB
23:36:59 | RAM: 58.4GB | Proc: 1.0GB
23:37:05 | RAM: 58.2GB | Proc: 1.0GB
23:37:10 | RAM: 58.3GB | Proc: 1.0GB
23:37:16 | RAM: 58.4GB | Proc: 1.0GB
23:37:21 | RAM: 58.3GB | Proc: 1.0GB
23:37:26 | RAM: 58.4GB | Proc: 1.0GB
23:37:31 | RAM: 58.4GB | Proc: 1.0GB
23:37:37 | RAM: 58.3GB | Proc: 1.0GB
23:37:42 | RAM: 58.3GB | Proc: 1.0GB
23:37:47 | RAM: 58.4GB | Proc: 1.0GB
23:37:53 | RAM: 58.3GB | Proc: 1.0GB
23:37:58 | RAM: 58.3GB | Proc: 1.0GB
23:38:04 | RAM: 58.4GB | Proc: 1.0GB
23:38:09 | RAM: 58.4GB | Proc: 1.0GB
23:38:14 | RAM: 58.3GB | Proc: 1.0GB
23:38:19 | RAM: 58.2GB | Proc: 1.0GB
23:38:25 | RAM: 58.2GB | Proc: 1.0GB
23:38:30 | RAM: 58.3GB | Proc: 1.0GB
23:38:36 | RAM: 58.1GB | Proc: 1.0GB
23:38:41 | RAM: 58.4GB | Proc: 1.0GB
23:38:46 | RAM: 58.4GB | Proc: 1.0GB
23:38:52 | RAM: 58.3GB | Proc: 1.0GB
23:38:57 | RAM: 58.4GB | Proc: 1.0GB
23:39:02 | RAM: 58.3GB | Proc: 1.0GB
23:39:08 | RAM: 58.3GB | Proc: 1.0GB
23:39:13 | RAM: 58.2GB | Proc: 1.0GB
23:39:19 | RAM: 58.4GB | Proc: 1.0GB
23:39:24 | RAM: 58.3GB | Proc: 1.0GB
23:39:29 | RAM: 58.3GB | Proc: 1.0GB
23:39:34 | RAM: 58.4GB | Proc: 1.0GB
23:39:40 | RAM: 58.3GB | Proc: 1.0GB
23:39:45 | RAM: 58.2GB | Proc: 1.0GB
23:39:51 | RAM: 58.2GB | Proc: 1.0GB
23:39:56 | RAM: 58.2GB | Proc: 1.0GB
23:40:01 | RAM: 58.2GB | Proc: 1.0GB
23:40:06 | RAM: 58.4GB | Proc: 1.0GB
23:40:12 | RAM: 58.3GB | Proc: 1.0GB
23:40:17 | RAM: 58.3GB | Proc: 1.0GB
23:40:23 | RAM: 58.4GB | Proc: 1.0GB
23:40:28 | RAM: 58.3GB | Proc: 1.0GB
23:40:34 | RAM: 58.2GB | Proc: 1.0GB
23:40:38 | RAM: 58.4GB | Proc: 1.0GB
23:40:44 | RAM: 58.4GB | Proc: 1.0GB
23:40:49 | RAM: 58.4GB | Proc: 1.0GB
23:40:55 | RAM: 58.3GB | Proc: 1.0GB
23:41:00 | RAM: 58.3GB | Proc: 1.0GB
23:41:05 | RAM: 58.2GB | Proc: 1.0GB
23:41:10 | RAM: 58.2GB | Proc: 1.0GB
23:41:16 | RAM: 58.5GB | Proc: 1.0GB
23:41:21 | RAM: 58.3GB | Proc: 1.0GB
23:41:26 | RAM: 58.4GB | Proc: 1.0GB
23:41:32 | RAM: 58.3GB | Proc: 1.0GB
23:41:36 | RAM: 58.2GB | Proc: 1.0GB
23:41:43 | RAM: 58.3GB | Proc: 1.0GB
23:41:47 | RAM: 58.4GB | Proc: 1.0GB
23:41:54 | RAM: 58.4GB | Proc: 1.0GB
23:41:57 | RAM: 58.3GB | Proc: 1.0GB
23:42:04 | RAM: 58.5GB | Proc: 1.0GB
23:42:08 | RAM: 58.3GB | Proc: 1.0GB
23:42:15 | RAM: 58.3GB | Proc: 1.0GB
23:42:19 | RAM: 58.2GB | Proc: 1.0GB
23:42:26 | RAM: 58.3GB | Proc: 1.0GB
23:42:29 | RAM: 58.4GB | Proc: 1.0GB
23:42:36 | RAM: 58.2GB | Proc: 1.0GB
23:42:40 | RAM: 58.5GB | Proc: 1.0GB
23:42:47 | RAM: 58.3GB | Proc: 1.0GB
23:42:51 | RAM: 58.3GB | Proc: 1.0GB
23:42:58 | RAM: 58.3GB | Proc: 1.0GB
23:43:01 | RAM: 58.2GB | Proc: 1.0GB
23:43:09 | RAM: 58.2GB | Proc: 1.0GB
23:43:12 | RAM: 58.4GB | Proc: 1.0GB
23:43:19 | RAM: 58.3GB | Proc: 1.0GB
23:43:23 | RAM: 58.2GB | Proc: 1.0GB
23:43:30 | RAM: 58.4GB | Proc: 1.0GB
23:43:34 | RAM: 58.3GB | Proc: 1.0GB
23:43:41 | RAM: 58.2GB | Proc: 1.0GB
23:43:45 | RAM: 58.3GB | Proc: 1.0GB
23:43:51 | RAM: 58.4GB | Proc: 1.0GB
23:43:55 | RAM: 58.4GB | Proc: 1.0GB
23:44:01 | RAM: 58.4GB | Proc: 1.0GB
23:44:06 | RAM: 58.4GB | Proc: 1.0GB
23:44:12 | RAM: 58.2GB | Proc: 1.0GB
23:44:17 | RAM: 58.3GB | Proc: 1.0GB
23:44:23 | RAM: 58.4GB | Proc: 1.0GB
23:44:27 | RAM: 58.3GB | Proc: 1.0GB
23:44:33 | RAM: 58.2GB | Proc: 1.0GB
23:44:38 | RAM: 58.2GB | Proc: 1.0GB
23:44:44 | RAM: 58.3GB | Proc: 1.0GB
23:44:48 | RAM: 58.2GB | Proc: 1.0GB
23:44:55 | RAM: 58.3GB | Proc: 1.0GB
23:44:59 | RAM: 58.4GB | Proc: 1.0GB
23:45:05 | RAM: 58.3GB | Proc: 1.0GB
23:45:09 | RAM: 58.4GB | Proc: 1.0GB
23:45:16 | RAM: 58.3GB | Proc: 1.0GB
23:45:20 | RAM: 58.4GB | Proc: 1.0GB
23:45:26 | RAM: 58.3GB | Proc: 1.0GB
23:45:30 | RAM: 58.4GB | Proc: 1.0GB
23:45:37 | RAM: 58.2GB | Proc: 1.0GB
23:45:41 | RAM: 58.3GB | Proc: 1.0GB
23:45:48 | RAM: 58.2GB | Proc: 1.0GB
23:45:52 | RAM: 58.3GB | Proc: 1.0GB
23:45:59 | RAM: 58.2GB | Proc: 1.0GB
23:46:03 | RAM: 58.3GB | Proc: 1.0GB
23:46:10 | RAM: 58.4GB | Proc: 1.0GB
23:46:13 | RAM: 58.3GB | Proc: 1.0GB
23:46:20 | RAM: 58.2GB | Proc: 1.0GB
23:46:24 | RAM: 58.3GB | Proc: 1.0GB
23:46:31 | RAM: 58.2GB | Proc: 1.0GB
23:46:34 | RAM: 58.2GB | Proc: 1.0GB
23:46:41 | RAM: 58.3GB | Proc: 1.0GB
23:46:45 | RAM: 58.3GB | Proc: 1.0GB
23:46:52 | RAM: 58.2GB | Proc: 1.0GB
23:46:56 | RAM: 58.3GB | Proc: 1.0GB
23:47:03 | RAM: 58.4GB | Proc: 1.0GB
23:47:07 | RAM: 58.3GB | Proc: 1.0GB
23:47:13 | RAM: 58.3GB | Proc: 1.0GB
23:47:17 | RAM: 58.5GB | Proc: 1.0GB
23:47:24 | RAM: 58.4GB | Proc: 1.0GB
23:47:28 | RAM: 58.4GB | Proc: 1.0GB
23:47:34 | RAM: 58.5GB | Proc: 1.0GB
23:47:38 | RAM: 58.4GB | Proc: 1.0GB
23:47:45 | RAM: 58.4GB | Proc: 1.0GB
23:47:49 | RAM: 58.3GB | Proc: 1.0GB
23:47:56 | RAM: 58.4GB | Proc: 1.0GB
23:48:00 | RAM: 58.3GB | Proc: 1.0GB
23:48:07 | RAM: 58.3GB | Proc: 1.0GB
23:48:11 | RAM: 58.4GB | Proc: 1.0GB
23:48:17 | RAM: 58.4GB | Proc: 1.0GB
23:48:21 | RAM: 58.3GB | Proc: 1.0GB
23:48:28 | RAM: 58.4GB | Proc: 1.0GB
23:48:32 | RAM: 58.2GB | Proc: 1.0GB
23:48:38 | RAM: 58.3GB | Proc: 1.0GB
23:48:43 | RAM: 58.4GB | Proc: 1.0GB
23:48:48 | RAM: 58.4GB | Proc: 1.0GB
23:48:54 | RAM: 58.3GB | Proc: 1.0GB
23:48:59 | RAM: 58.4GB | Proc: 1.0GB
23:49:04 | RAM: 58.3GB | Proc: 1.0GB
23:49:10 | RAM: 58.3GB | Proc: 1.0GB
23:49:15 | RAM: 58.4GB | Proc: 1.0GB
23:49:20 | RAM: 58.2GB | Proc: 1.0GB
23:49:26 | RAM: 58.3GB | Proc: 1.0GB
23:49:31 | RAM: 58.4GB | Proc: 1.0GB
23:49:36 | RAM: 58.2GB | Proc: 1.0GB
23:49:42 | RAM: 58.2GB | Proc: 1.0GB
23:49:47 | RAM: 58.3GB | Proc: 1.0GB
23:49:52 | RAM: 58.3GB | Proc: 1.0GB
23:49:57 | RAM: 58.3GB | Proc: 1.0GB
23:50:03 | RAM: 58.3GB | Proc: 1.0GB
23:50:08 | RAM: 58.4GB | Proc: 1.0GB
23:50:13 | RAM: 58.3GB | Proc: 1.0GB
23:50:18 | RAM: 58.2GB | Proc: 1.0GB
23:50:24 | RAM: 58.3GB | Proc: 1.0GB
23:50:29 | RAM: 58.3GB | Proc: 1.0GB
23:50:34 | RAM: 58.3GB | Proc: 1.0GB
23:50:40 | RAM: 58.4GB | Proc: 1.0GB
23:50:45 | RAM: 58.3GB | Proc: 1.0GB
23:50:50 | RAM: 58.3GB | Proc: 1.0GB
23:50:56 | RAM: 58.4GB | Proc: 1.0GB
23:51:01 | RAM: 58.3GB | Proc: 1.0GB
23:51:06 | RAM: 58.4GB | Proc: 1.0GB
23:51:12 | RAM: 58.4GB | Proc: 1.0GB
23:51:17 | RAM: 58.3GB | Proc: 1.0GB
23:51:22 | RAM: 58.4GB | Proc: 1.0GB
23:51:28 | RAM: 58.4GB | Proc: 1.0GB
23:51:33 | RAM: 58.5GB | Proc: 1.0GB
23:51:39 | RAM: 58.4GB | Proc: 1.0GB
23:51:43 | RAM: 58.4GB | Proc: 1.0GB
23:51:49 | RAM: 58.5GB | Proc: 1.0GB
23:51:54 | RAM: 58.3GB | Proc: 1.0GB
23:52:00 | RAM: 58.4GB | Proc: 1.0GB
23:52:05 | RAM: 58.5GB | Proc: 1.0GB
23:52:10 | RAM: 58.4GB | Proc: 1.0GB
23:52:16 | RAM: 58.3GB | Proc: 1.0GB
23:52:21 | RAM: 58.4GB | Proc: 1.0GB
23:52:27 | RAM: 58.3GB | Proc: 1.0GB
23:52:32 | RAM: 58.3GB | Proc: 1.0GB
