
--- INICIO PIPELINE MOSCAS 2026-03-30 17:42:26.066087 ---
21:04:36 | RAM: 54.7GB | Proc: 1.0GB
21:04:47 | RAM: 54.8GB | Proc: 1.0GB
21:04:58 | RAM: 54.8GB | Proc: 1.0GB
21:05:09 | RAM: 54.8GB | Proc: 1.0GB
21:05:20 | RAM: 54.9GB | Proc: 1.0GB
21:05:32 | RAM: 54.8GB | Proc: 1.0GB
21:05:43 | RAM: 54.8GB | Proc: 1.0GB
21:05:54 | RAM: 54.9GB | Proc: 1.0GB
21:06:05 | RAM: 54.8GB | Proc: 1.0GB
21:06:16 | RAM: 55.0GB | Proc: 1.0GB
21:06:27 | RAM: 55.0GB | Proc: 1.0GB
21:06:38 | RAM: 55.0GB | Proc: 1.0GB
21:06:49 | RAM: 55.0GB | Proc: 1.0GB
21:06:59 | RAM: 55.0GB | Proc: 1.0GB
21:07:11 | RAM: 54.9GB | Proc: 1.0GB
21:07:21 | RAM: 55.0GB | Proc: 1.0GB
21:07:32 | RAM: 55.1GB | Proc: 1.0GB
21:07:43 | RAM: 55.0GB | Proc: 1.0GB
21:07:54 | RAM: 55.0GB | Proc: 1.0GB
21:08:05 | RAM: 55.1GB | Proc: 1.0GB
21:08:16 | RAM: 55.0GB | Proc: 1.0GB
21:08:26 | RAM: 55.0GB | Proc: 1.0GB
21:08:37 | RAM: 55.1GB | Proc: 1.0GB
21:08:48 | RAM: 55.0GB | Proc: 1.0GB
21:08:59 | RAM: 55.1GB | Proc: 1.0GB
21:09:10 | RAM: 55.0GB | Proc: 1.0GB
21:09:21 | RAM: 55.0GB | Proc: 1.0GB
21:09:31 | RAM: 55.3GB | Proc: 1.0GB
21:09:42 | RAM: 55.1GB | Proc: 1.0GB
21:09:53 | RAM: 55.1GB | Proc: 1.0GB
21:10:04 | RAM: 55.2GB | Proc: 1.0GB
21:10:15 | RAM: 55.1GB | Proc: 1.0GB
21:10:25 | RAM: 55.1GB | Proc: 1.0GB
21:10:36 | RAM: 55.2GB | Proc: 1.0GB
21:10:47 | RAM: 55.1GB | Proc: 1.0GB
21:10:58 | RAM: 55.1GB | Proc: 1.0GB
21:11:08 | RAM: 55.2GB | Proc: 1.0GB
21:11:19 | RAM: 55.1GB | Proc: 1.0GB
21:11:30 | RAM: 55.1GB | Proc: 1.0GB
21:11:40 | RAM: 55.2GB | Proc: 1.0GB
21:11:51 | RAM: 55.1GB | Proc: 1.0GB
21:12:02 | RAM: 55.2GB | Proc: 1.0GB
21:12:12 | RAM: 55.1GB | Proc: 1.0GB
21:12:23 | RAM: 55.2GB | Proc: 1.0GB
21:12:34 | RAM: 55.2GB | Proc: 1.0GB
21:12:45 | RAM: 55.1GB | Proc: 1.0GB
21:12:55 | RAM: 55.2GB | Proc: 1.0GB
21:13:06 | RAM: 55.3GB | Proc: 1.0GB
21:13:17 | RAM: 55.3GB | Proc: 1.0GB
21:13:27 | RAM: 55.2GB | Proc: 1.0GB
21:13:38 | RAM: 55.3GB | Proc: 1.0GB
21:13:49 | RAM: 55.2GB | Proc: 1.0GB
21:14:00 | RAM: 55.2GB | Proc: 1.0GB
21:14:11 | RAM: 55.3GB | Proc: 1.0GB
21:14:22 | RAM: 55.2GB | Proc: 1.0GB
21:14:32 | RAM: 55.3GB | Proc: 1.0GB
21:14:43 | RAM: 55.5GB | Proc: 1.0GB
21:14:54 | RAM: 55.3GB | Proc: 1.0GB
21:15:05 | RAM: 55.3GB | Proc: 1.0GB
21:15:15 | RAM: 55.4GB | Proc: 1.0GB
21:15:26 | RAM: 55.2GB | Proc: 1.0GB
21:15:37 | RAM: 55.2GB | Proc: 1.0GB
21:15:48 | RAM: 55.4GB | Proc: 1.0GB
21:16:00 | RAM: 55.4GB | Proc: 1.0GB
21:16:10 | RAM: 55.3GB | Proc: 1.0GB
21:16:21 | RAM: 55.5GB | Proc: 1.0GB
21:16:32 | RAM: 55.3GB | Proc: 1.0GB
21:16:43 | RAM: 55.3GB | Proc: 1.0GB
21:16:54 | RAM: 55.4GB | Proc: 1.0GB
21:17:05 | RAM: 55.3GB | Proc: 1.0GB
21:17:15 | RAM: 55.3GB | Proc: 1.0GB
21:17:26 | RAM: 55.4GB | Proc: 1.0GB
21:17:37 | RAM: 55.4GB | Proc: 1.0GB
21:17:48 | RAM: 55.4GB | Proc: 1.0GB
21:17:59 | RAM: 55.4GB | Proc: 1.0GB
21:18:10 | RAM: 55.4GB | Proc: 1.0GB
21:18:21 | RAM: 55.4GB | Proc: 1.0GB
21:18:32 | RAM: 55.4GB | Proc: 1.0GB
21:18:43 | RAM: 55.5GB | Proc: 1.0GB
21:18:53 | RAM: 55.5GB | Proc: 1.0GB
21:19:04 | RAM: 55.4GB | Proc: 1.0GB
21:19:15 | RAM: 55.4GB | Proc: 1.0GB
21:19:26 | RAM: 55.5GB | Proc: 1.0GB
21:19:37 | RAM: 55.6GB | Proc: 1.0GB
21:19:48 | RAM: 55.5GB | Proc: 1.0GB
21:19:59 | RAM: 55.5GB | Proc: 1.0GB
21:20:10 | RAM: 55.4GB | Proc: 1.0GB
21:20:20 | RAM: 55.5GB | Proc: 1.0GB
21:20:31 | RAM: 55.6GB | Proc: 1.0GB
21:20:42 | RAM: 55.6GB | Proc: 1.0GB
21:20:53 | RAM: 55.6GB | Proc: 1.0GB
21:21:04 | RAM: 55.7GB | Proc: 1.0GB
21:21:15 | RAM: 55.6GB | Proc: 1.0GB
21:21:25 | RAM: 55.6GB | Proc: 1.0GB
21:21:36 | RAM: 55.8GB | Proc: 1.0GB
21:21:46 | RAM: 55.6GB | Proc: 1.0GB
21:21:57 | RAM: 55.6GB | Proc: 1.0GB
21:22:08 | RAM: 55.6GB | Proc: 1.0GB
21:22:19 | RAM: 55.7GB | Proc: 1.0GB
21:22:30 | RAM: 57.3GB | Proc: 1.0GB
21:22:41 | RAM: 57.2GB | Proc: 1.0GB
21:22:52 | RAM: 56.8GB | Proc: 1.0GB
21:23:03 | RAM: 56.9GB | Proc: 1.0GB
21:23:14 | RAM: 56.9GB | Proc: 1.0GB
21:23:25 | RAM: 56.8GB | Proc: 1.0GB
21:23:36 | RAM: 56.9GB | Proc: 1.0GB
21:23:47 | RAM: 56.8GB | Proc: 1.0GB
21:23:57 | RAM: 56.8GB | Proc: 1.0GB
21:24:08 | RAM: 57.0GB | Proc: 1.0GB
21:24:19 | RAM: 56.8GB | Proc: 1.0GB
21:24:30 | RAM: 56.8GB | Proc: 1.0GB
21:24:41 | RAM: 56.9GB | Proc: 1.0GB
21:24:52 | RAM: 54.4GB | Proc: 1.0GB
21:25:03 | RAM: 55.4GB | Proc: 1.0GB
21:25:14 | RAM: 54.8GB | Proc: 1.0GB
21:25:24 | RAM: 54.8GB | Proc: 1.0GB
21:25:36 | RAM: 54.8GB | Proc: 1.0GB
21:25:46 | RAM: 54.7GB | Proc: 1.0GB
21:25:57 | RAM: 54.7GB | Proc: 1.0GB
21:26:08 | RAM: 54.8GB | Proc: 1.0GB
21:26:19 | RAM: 54.7GB | Proc: 1.0GB
21:26:29 | RAM: 54.7GB | Proc: 1.0GB
21:26:40 | RAM: 54.8GB | Proc: 1.0GB
21:26:51 | RAM: 54.7GB | Proc: 1.0GB
21:27:02 | RAM: 54.7GB | Proc: 1.0GB
21:27:13 | RAM: 54.6GB | Proc: 1.0GB
21:27:24 | RAM: 54.7GB | Proc: 1.0GB
21:27:35 | RAM: 54.7GB | Proc: 1.0GB
21:27:45 | RAM: 54.7GB | Proc: 1.0GB
21:27:56 | RAM: 54.7GB | Proc: 1.0GB
21:28:07 | RAM: 54.8GB | Proc: 1.0GB
21:28:17 | RAM: 54.9GB | Proc: 1.0GB
21:28:28 | RAM: 54.8GB | Proc: 1.0GB
21:28:39 | RAM: 54.9GB | Proc: 1.0GB
21:28:49 | RAM: 54.7GB | Proc: 1.0GB
21:29:00 | RAM: 54.7GB | Proc: 1.0GB
21:29:10 | RAM: 54.8GB | Proc: 1.0GB
21:29:21 | RAM: 54.8GB | Proc: 1.0GB
21:29:32 | RAM: 54.8GB | Proc: 1.0GB
21:29:42 | RAM: 54.7GB | Proc: 1.0GB
21:29:53 | RAM: 54.7GB | Proc: 1.0GB
21:30:04 | RAM: 54.9GB | Proc: 1.0GB
21:30:15 | RAM: 54.7GB | Proc: 1.0GB
21:30:26 | RAM: 54.7GB | Proc: 1.0GB
21:30:36 | RAM: 55.0GB | Proc: 1.0GB
21:30:47 | RAM: 54.9GB | Proc: 1.0GB
21:30:58 | RAM: 54.8GB | Proc: 1.0GB
21:31:09 | RAM: 55.0GB | Proc: 1.0GB
21:31:20 | RAM: 54.9GB | Proc: 1.0GB
21:31:30 | RAM: 54.8GB | Proc: 1.0GB
21:31:41 | RAM: 55.0GB | Proc: 1.0GB
21:31:52 | RAM: 54.8GB | Proc: 1.0GB
21:32:02 | RAM: 54.9GB | Proc: 1.0GB
21:32:13 | RAM: 54.9GB | Proc: 1.0GB
21:32:24 | RAM: 54.9GB | Proc: 1.0GB
21:32:35 | RAM: 54.9GB | Proc: 1.0GB
21:32:45 | RAM: 54.8GB | Proc: 1.0GB
21:32:56 | RAM: 54.9GB | Proc: 1.0GB
21:33:06 | RAM: 54.9GB | Proc: 1.0GB
21:33:17 | RAM: 54.9GB | Proc: 1.0GB
21:33:28 | RAM: 55.0GB | Proc: 1.0GB
21:33:38 | RAM: 55.1GB | Proc: 1.0GB
21:33:49 | RAM: 55.0GB | Proc: 1.0GB
21:34:00 | RAM: 55.1GB | Proc: 1.0GB
21:34:10 | RAM: 55.0GB | Proc: 1.0GB
21:34:21 | RAM: 55.0GB | Proc: 1.0GB
21:34:31 | RAM: 54.4GB | Proc: 1.0GB
21:34:42 | RAM: 54.4GB | Proc: 1.0GB
21:34:52 | RAM: 54.6GB | Proc: 1.0GB
21:35:02 | RAM: 54.8GB | Proc: 1.0GB
21:35:13 | RAM: 54.8GB | Proc: 1.0GB
21:35:24 | RAM: 54.9GB | Proc: 1.0GB
21:35:35 | RAM: 54.8GB | Proc: 1.0GB
21:35:45 | RAM: 54.8GB | Proc: 1.0GB
21:35:56 | RAM: 54.9GB | Proc: 1.0GB
21:36:07 | RAM: 54.9GB | Proc: 1.0GB
21:36:18 | RAM: 54.9GB | Proc: 1.0GB
