
--- INICIO MONITOREO V17 MEDIUM 2026-03-05 19:46:06.884493 ---
Timestamp | Sys_Used(GB) | Free(GB) | Proc_RAM(GB) | GPU_Stats
19:46:07 | 15.28 | 236.49 | 0.43 | 0, 23, 8 | 1, 25, 8 | 2, 25, 8 | 3, 25, 8 | 4, 27, 8 | 5, 24, 8 | 6, 26, 8 | 7, 28, 8 |
19:46:22 | 19.68 | 232.09 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 28, 406 | 4, 29, 286 | 5, 27, 302 | 6, 29, 302 | 7, 31, 300 |
19:46:37 | 20.32 | 231.45 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 31, 540 | 4, 34, 440 | 5, 32, 440 | 6, 34, 440 | 7, 36, 440 |
19:46:52 | 20.61 | 231.16 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 29, 540 | 4, 38, 440 | 5, 35, 440 | 6, 38, 440 | 7, 40, 440 |
19:47:08 | 20.77 | 231.00 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 28, 540 | 4, 41, 440 | 5, 38, 440 | 6, 41, 440 | 7, 43, 440 |
19:47:23 | 20.80 | 230.97 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 28, 540 | 4, 44, 440 | 5, 41, 440 | 6, 44, 440 | 7, 46, 440 |
19:47:38 | 20.95 | 230.81 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 27, 540 | 4, 47, 440 | 5, 43, 440 | 6, 47, 440 | 7, 48, 440 |
19:47:54 | 21.24 | 230.53 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 27, 540 | 4, 49, 440 | 5, 45, 440 | 6, 49, 440 | 7, 51, 440 |
19:48:09 | 21.27 | 230.50 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 27, 540 | 4, 51, 440 | 5, 47, 440 | 6, 51, 440 | 7, 52, 440 |
19:48:24 | 21.39 | 230.38 | 0.90 | 0, 23, 8 | 1, 24, 8 | 2, 25, 8 | 3, 26, 540 | 4, 53, 440 | 5, 49, 440 | 6, 53, 440 | 7, 54, 440 |
