epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,98141.3,4.70652,9.89781,1.29939,0.00367,3.37411,0.64147,0.40023,0.4548,0.31266,0.44822,0.24606,0.2445,0.13602,3.87458,10.1205,1.17696,0.00329,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,102276,4.69643,9.90965,1.29906,0.00367,3.35853,0.63987,0.4011,0.45534,0.31308,0.4482,0.24672,0.24491,0.13654,3.87354,10.1156,1.17565,0.00329,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,106369,4.70693,9.90655,1.29716,0.00366,3.35227,0.64202,0.40172,0.45595,0.31361,0.45027,0.24667,0.24469,0.13589,3.87187,10.1133,1.17407,0.00329,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,110475,4.70178,9.89151,1.29719,0.00367,3.35429,0.64211,0.40203,0.45665,0.31409,0.44903,0.24742,0.24506,0.13599,3.87196,10.1066,1.17322,0.00329,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,114575,4.68884,9.87662,1.29584,0.00366,3.3477,0.64295,0.40302,0.4572,0.31459,0.45019,0.24758,0.24583,0.13673,3.86863,10.0944,1.17134,0.00328,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,118687,4.68952,9.88665,1.29527,0.00363,3.33144,0.64405,0.40364,0.45816,0.31519,0.45139,0.24825,0.24618,0.13681,3.86491,10.0907,1.16972,0.00328,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,122788,4.69868,9.87431,1.29408,0.00366,3.33037,0.64139,0.40494,0.45909,0.31591,0.45171,0.24934,0.2471,0.13758,3.86244,10.0808,1.1683,0.00327,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,126895,4.67228,9.84968,1.29252,0.00366,3.32543,0.64184,0.40517,0.45974,0.31635,0.44948,0.25028,0.24703,0.13762,3.86208,10.0706,1.16658,0.00327,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,131008,4.68856,9.86149,1.29192,0.00364,3.28428,0.64392,0.40551,0.45984,0.31632,0.44955,0.25014,0.24714,0.13787,3.86257,10.0651,1.16554,0.00327,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,135111,4.66375,9.83713,1.28987,0.00362,3.27216,0.64736,0.40559,0.46036,0.31692,0.44866,0.2508,0.24765,0.13811,3.86024,10.0582,1.16507,0.00326,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,139228,4.66815,9.84847,1.28833,0.00361,3.30713,0.64487,0.40651,0.46109,0.31722,0.45077,0.25013,0.24769,0.13811,3.85896,10.0478,1.16487,0.00326,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,143336,4.67183,9.85164,1.28772,0.00361,3.31156,0.6472,0.40596,0.46157,0.31759,0.45154,0.25023,0.248,0.13832,3.85948,10.0478,1.16367,0.00326,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,147494,4.66631,9.82907,1.28505,0.0036,3.28274,0.64636,0.40639,0.462,0.31788,0.45286,0.2503,0.24802,0.1382,3.85837,10.0477,1.16275,0.00326,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,151618,4.66097,9.82551,1.28713,0.00362,3.30857,0.64916,0.40641,0.46236,0.31806,0.45465,0.25075,0.24772,0.13798,3.85722,10.0485,1.16192,0.00326,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,155725,4.6616,9.8239,1.28382,0.0036,3.27724,0.65181,0.40587,0.46314,0.31874,0.45187,0.25154,0.24786,0.13776,3.85318,10.0413,1.16021,0.00325,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,159832,4.65854,9.81007,1.28448,0.00361,3.2829,0.64913,0.40729,0.46345,0.31914,0.45155,0.25199,0.24801,0.13809,3.85068,10.0425,1.15875,0.00325,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,163959,4.64405,9.80111,1.28323,0.0036,3.26641,0.64945,0.40804,0.46418,0.31974,0.45268,0.25158,0.24852,0.13843,3.84967,10.032,1.15824,0.00325,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,168108,4.6511,9.80637,1.28079,0.00359,3.26953,0.65032,0.40809,0.46452,0.3204,0.44915,0.25262,0.24838,0.13856,3.84629,10.027,1.15734,0.00324,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,172238,4.64605,9.78764,1.27961,0.00359,3.27238,0.65134,0.4088,0.46506,0.32086,0.44721,0.25338,0.24869,0.13847,3.84154,10.0144,1.15563,0.00324,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,176379,4.64186,9.78584,1.27748,0.00357,3.26947,0.6522,0.40913,0.46559,0.32124,0.44945,0.25283,0.24875,0.13855,3.84007,10.014,1.15479,0.00323,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,180514,4.63205,9.79166,1.27928,0.00357,3.26693,0.65081,0.40962,0.46601,0.32159,0.44997,0.25361,0.24898,0.13853,3.83891,10.0078,1.15379,0.00323,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,184644,4.63457,9.77929,1.27459,0.00356,3.25613,0.65182,0.41003,0.46632,0.32176,0.45,0.25346,0.249,0.13846,3.83551,10.0063,1.15301,0.00322,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,188769,4.63343,9.78712,1.27755,0.00357,3.26488,0.65318,0.40952,0.46643,0.32215,0.45066,0.25349,0.24907,0.13849,3.83248,10.0009,1.15231,0.00322,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,192901,4.63316,9.79044,1.27773,0.00357,3.27559,0.65297,0.41089,0.46705,0.32244,0.4497,0.25373,0.24896,0.13863,3.83038,9.99222,1.15156,0.00322,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,197031,4.61809,9.77394,1.27416,0.00355,3.27911,0.65325,0.41094,0.46752,0.32269,0.4515,0.25428,0.24988,0.13967,3.8308,9.98866,1.15103,0.00321,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,201166,4.61576,9.74322,1.26992,0.00354,3.21989,0.6541,0.4106,0.46766,0.3229,0.45447,0.25312,0.24941,0.13901,3.82894,9.98074,1.14992,0.00321,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,205289,4.60818,9.74794,1.27167,0.00354,3.23643,0.65218,0.41188,0.46821,0.32336,0.45544,0.25414,0.25033,0.13947,3.82767,9.97292,1.14901,0.00321,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,209436,4.61676,9.759,1.27192,0.00353,3.21596,0.65047,0.41303,0.46852,0.32364,0.45568,0.25401,0.2502,0.13949,3.82452,9.96878,1.14851,0.0032,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,213546,4.5935,9.73772,1.26735,0.00352,3.22675,0.65349,0.4121,0.46898,0.3241,0.45405,0.25411,0.25062,0.13968,3.82223,9.95934,1.14721,0.0032,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,217699,4.61837,9.75262,1.26969,0.00351,3.23792,0.65344,0.41275,0.46952,0.32445,0.45565,0.25418,0.25074,0.1397,3.82295,9.95953,1.14636,0.0032,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,221871,4.60547,9.73626,1.26844,0.00351,3.23145,0.65581,0.41218,0.46963,0.32462,0.4529,0.25542,0.25107,0.13975,3.82292,9.95759,1.14582,0.0032,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,226021,4.58654,9.71464,1.26262,0.0035,3.23639,0.65499,0.41333,0.47003,0.32481,0.45494,0.25568,0.25124,0.13997,3.82106,9.95119,1.1454,0.0032,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,230184,4.59092,9.70323,1.26354,0.0035,3.21985,0.65415,0.41415,0.47031,0.32508,0.4547,0.25602,0.25148,0.13999,3.8202,9.95083,1.14455,0.0032,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,234335,4.58859,9.72657,1.26433,0.00349,3.21271,0.65355,0.41533,0.47072,0.3256,0.45388,0.2563,0.25115,0.13978,3.81853,9.94749,1.14403,0.00319,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,238483,4.5709,9.70893,1.26131,0.00349,3.21672,0.65602,0.41529,0.47116,0.32604,0.45382,0.25726,0.2515,0.13989,3.81579,9.94742,1.14282,0.00319,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,242639,4.56257,9.69008,1.25902,0.00346,3.19736,0.65724,0.41447,0.47166,0.32642,0.45362,0.25704,0.25176,0.13986,3.81426,9.94294,1.14264,0.00319,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,246788,4.56158,9.66759,1.25555,0.00346,3.12877,0.6594,0.41453,0.47201,0.32677,0.45439,0.25726,0.25202,0.14012,3.81171,9.94308,1.14232,0.00318,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,250934,4.54987,9.67271,1.2552,0.00345,3.20172,0.65966,0.41489,0.47273,0.32719,0.45842,0.25643,0.25217,0.14017,3.81087,9.93932,1.14129,0.00318,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,255080,4.54849,9.66604,1.25532,0.00345,3.17716,0.65882,0.41535,0.47317,0.3275,0.45624,0.25745,0.25252,0.1404,3.8097,9.9423,1.14083,0.00317,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,259215,4.55132,9.66261,1.25311,0.00345,3.18872,0.65987,0.41581,0.47375,0.32801,0.46086,0.2562,0.25277,0.14044,3.80788,9.94062,1.13965,0.00317,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,263372,4.54882,9.66103,1.25251,0.00344,3.1955,0.65976,0.41612,0.47414,0.32841,0.459,0.25757,0.25323,0.14079,3.80503,9.93678,1.13846,0.00317,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,267520,4.52644,9.65335,1.24923,0.00344,3.19258,0.66051,0.41629,0.47456,0.32885,0.45697,0.25842,0.25335,0.14087,3.80295,9.92739,1.13771,0.00317,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,271676,4.52317,9.62187,1.24831,0.00342,3.16422,0.662,0.41598,0.4748,0.32899,0.45913,0.25827,0.25378,0.14149,3.80348,9.92972,1.13728,0.00316,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,275830,4.52764,9.62798,1.24576,0.0034,3.14889,0.65951,0.41702,0.475,0.32934,0.45687,0.25968,0.25426,0.14175,3.8006,9.9264,1.13659,0.00316,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
