epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,102301,1.01793,2.72709,0.84104,0.97542,0,0.58288,0.38318,0.41773,0.26462,0.00159,0.00522,0.00063,0.00017,0.94025,8.09214,0.81006,0.93514,0,0.007228,0.007228,0.007228
30,105805,1.01234,2.71611,0.83642,0.97331,0,0.58386,0.38439,0.41842,0.26495,0.00176,0.00415,0.00062,0.00017,0.93931,8.12794,0.80824,0.93478,0,0.007129,0.007129,0.007129
31,109302,1.01518,2.71808,0.83757,0.97335,0,0.58671,0.38471,0.41923,0.26536,0.00182,0.00386,0.00062,0.00017,0.93842,8.18219,0.80663,0.93444,0,0.00703,0.00703,0.00703
32,112818,1.01261,2.71046,0.83313,0.97223,0,0.58702,0.38528,0.41995,0.26593,0.00182,0.0039,0.00061,0.00017,0.93751,8.22575,0.80535,0.93397,0,0.006931,0.006931,0.006931
33,116338,1.01042,2.71613,0.83528,0.97301,0,0.58487,0.3876,0.42039,0.26626,0.00179,0.00353,0.0006,0.00016,0.93655,8.28913,0.80416,0.93352,0,0.006832,0.006832,0.006832
34,119888,1.00769,2.70588,0.83217,0.97133,0,0.58874,0.38705,0.42119,0.26688,0.00179,0.00369,0.00061,0.00017,0.93578,8.35152,0.80318,0.93311,0,0.006733,0.006733,0.006733
35,123384,1.01002,2.70615,0.83255,0.97151,0,0.59248,0.38677,0.42228,0.26763,0.00178,0.00373,0.0006,0.00017,0.9351,8.414,0.80219,0.93262,0,0.006634,0.006634,0.006634
36,126906,1.01055,2.70919,0.83175,0.97161,0,0.5936,0.38688,0.42262,0.26787,0.00175,0.00344,0.0006,0.00016,0.93417,8.45992,0.80147,0.93233,0,0.006535,0.006535,0.006535
37,130431,1.00598,2.70444,0.83085,0.9705,0,0.59564,0.38668,0.42315,0.26835,0.00174,0.00361,0.00059,0.00017,0.93349,8.51079,0.80067,0.93196,0,0.006436,0.006436,0.006436
38,133941,1.00478,2.70444,0.82838,0.9695,0,0.59755,0.38701,0.4236,0.26872,0.00176,0.00339,0.0006,0.00016,0.93288,8.55539,0.80015,0.93156,0,0.006337,0.006337,0.006337
39,137514,1.00525,2.69984,0.82751,0.97006,0,0.60008,0.38688,0.42383,0.26886,0.00172,0.00352,0.00058,0.00016,0.9322,8.5872,0.79933,0.93145,0,0.006238,0.006238,0.006238
40,141022,1.00234,2.70067,0.82754,0.9692,0,0.60016,0.38751,0.42434,0.26913,0.00162,0.00353,0.00057,0.00016,0.9319,8.6155,0.79857,0.9312,0,0.006139,0.006139,0.006139
41,144539,1.00098,2.69291,0.82449,0.96802,0,0.59874,0.38869,0.42472,0.26959,0.00153,0.00401,0.00056,0.00015,0.93114,8.63865,0.79795,0.93088,0,0.00604,0.00604,0.00604
42,148100,1.00161,2.6963,0.82563,0.96905,0,0.59984,0.38849,0.42505,0.26987,0.00149,0.00424,0.00056,0.00015,0.93045,8.66953,0.79742,0.93069,0,0.005941,0.005941,0.005941
43,151585,1.00068,2.69653,0.8264,0.96909,0,0.59955,0.38988,0.42546,0.2701,0.0014,0.00466,0.00055,0.00015,0.93013,8.70276,0.79698,0.93041,0,0.005842,0.005842,0.005842
44,155095,0.99963,2.69227,0.82398,0.96778,0,0.59988,0.38966,0.42587,0.27052,0.00148,0.00438,0.00055,0.00015,0.92969,8.7314,0.79644,0.93018,0,0.005743,0.005743,0.005743
